Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Ford,Edge 2.0 TITANIUM TDCI 5d 177 BHP,2017,Estate,5,5,Blue,2.0,"3631,84","25,65",n/a,48.7,Manual,177,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE TECH 5d 148 BHP,2017,Hatchback,5,5,Grey,2.0,"3599,84","40,123",n/a,65.7,Manual,148,1,16-11-2021
BMW,X1 2.0 SDRIVE18D SE 5d 148 BHP,2017,Estate,5,5,Black,2.0,"3103,84","23,048",n/a,68.9,Manual,148,1,16-11-2021
Volkswagen,Passat 2.0 SE BUSINESS TDI BLUEMOTION TECHNOLOGY 5d 148 BHP,2017,Estate,5,5,Grey,2.0,"2079,84","69,943",n/a,67.3,Manual,148,1,16-11-2021
Seat,Arona 1.0 TSI FR SPORT DSG 5d 114 BHP,2019,Hatchback,5,5,Grey,1.0,"2927,84","18,67",Petrol,46.3,Automatic,114,1,16-11-2021
Mazda,CX-5 2.0 SE-L NAV PLUS 5d 163 BHP,2018,Estate,5,5,White,2.0,"3519,84","22,79",Petrol,36.7,Automatic,163,1,16-11-2021
Volvo,V70 2.0 D4 SE NAV 5d 178 BHP,2015,Estate,5,5,Silver,2.0,"2319,84","61,918",n/a,60.1,Automatic,178,1,16-11-2021
Ford,Focus 1.0 ST-LINE 5d 124 BHP,2018,Hatchback,5,5,Black,1.0,"2655,84","28,593",Petrol,48.7,Manual,123,1,16-11-2021
Hyundai,IONIQ 1.6 PREMIUM 5d,2017,Hatchback,5,5,Blue,1.6,"2319,84","65,987",Hybrid,83.1,Automatic,140,1,16-11-2021
Mazda,CX-5 2.0 SE-L NAV 5d 163 BHP,2018,Estate,5,5,Blue,2.0,"3039,84","30,096",Petrol,44.1,Manual,163,1,16-11-2021
Dacia,Duster 1.0 COMFORT TCE 5d 100 BHP,2020,Hatchback,5,5,White,1.0,"2399,84",6,Petrol,41.5,Manual,99,2,16-11-2021
BMW,X3 2.0 XDRIVE20D XLINE 5d 188 BHP,2017,Estate,5,5,White,2.0,"4239,84","30,755",n/a,54.3,Automatic,188,2,16-11-2021
