Make,Model,Year of manufacture,Body,Doors,Seats,Colour,Engine size,Price,Mileage,Fuel type,Fuel economy,Transmission,Horse power,Owners,Extraction time
Mercedes-Benz,GLC-Class 2.1 GLC 220 D 4MATIC AMG LINE 5d 168 BHP,2017,Estate,5,5,Silver,2.1,"4431,84","65,794",n/a,56.5,Automatic,168,1,16-11-2021
Mitsubishi,Eclipse Cross 1.5 3 5d 161 BHP,2018,Hatchback,5,5,Grey,1.5,"2559,84","25,033",Petrol,42.8,Manual,161,1,16-11-2021
Hyundai,IONIQ 1.6 PREMIUM 5d,2017,Hatchback,5,5,Blue,1.6,"2399,84","54,411",Hybrid,83.1,Automatic,140,1,16-11-2021
Audi,A5 2.0 TDI S LINE 5d 187 BHP,2016,Hatchback,5,5,Red,2.0,"3039,84","39,571",n/a,58.9,Automatic,187,1,16-11-2021
Mercedes-Benz,A-Class 1.5 A 180 D AMG LINE 5d 107 BHP,2017,Hatchback,5,5,Black,1.5,"2703,84","45,012",n/a,68.9,Manual,107,1,16-11-2021
Mazda,CX-5 2.2 D SPORT NAV 5d 148 BHP,2018,Estate,5,5,Red,2.2,"3439,84","29,435",n/a,56.5,Manual,148,1,16-11-2021
Renault,Captur 0.9 GT LINE TCE 5d 89 BHP,2019,Hatchback,5,5,Red,0.9,"2447,84","8,096",Petrol,52.3,Manual,88,1,16-11-2021
BMW,5 Series 2.0 520D SE 4d 188 BHP,2018,Saloon,4,5,Silver,2.0,"3359,84","68,376",n/a,68.9,Automatic,188,1,16-11-2021
MINI,Mini 1.5 COOPER 5d 134 BHP,2018,Hatchback,5,5,Red,1.5,"2399,84","33,603",Petrol,55.4,Manual,134,1,16-11-2021
Mercedes-Benz,C-Class 2.0 C350 E SPORT 5d 208 BHP,2018,Estate,5,5,Grey,2.0,"3599,84","45,364",Hybrid,134.5,Automatic,275,1,16-11-2021
BMW,3 Series 2.0 330E M SPORT 4d 181 BHP,2017,Saloon,4,5,Blue,2.0,"2719,84","77,503",Hybrid,134.5,Automatic,248,1,16-11-2021
Seat,Leon 2.0 TDI FR TECHNOLOGY 5d 148 BHP,2017,Hatchback,5,5,Red,2.0,"2223,84","35,373",n/a,64.2,Manual,148,1,16-11-2021
Land Rover,Range Rover Evoque 2.0 ED4 SE 5d 148 BHP,2016,Hatchback,5,5,Red,2.0,"3599,84","23,689",n/a,65.7,Manual,148,1,16-11-2021
BMW,3 SERIES 335d xDrive M Sport Shadow Edition 5dr Step Auto,2018,Estate,5,5,Silver,3.0,5440,"15,007",Diesel,48.7,Automatic,74,2,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Sport II 3dr [Nav Pack],2019,Hatchback,3,4,Grey,2.0,3720,"11,669",Petrol,42.8,Manual,189,1,16-11-2021
MINI,COUNTRYMAN 2.0 Cooper S 5dr [Chili/Media Pack XL],2017,Hatchback,5,5,Blue,2.0,3560,"37,771",Petrol,45.6,Manual,189,1,16-11-2021
BMW,4 SERIES 430i M Sport 2dr Auto [Professional Media],2019,Coupe,2,4,Blue,2.0,4800,17,Petrol,48.7,Automatic,248,1,16-11-2021
BMW,Z4 20i sDrive M Sport 2dr Auto,2016,Convertible,2,2,Black,2.0,3200,"38,5",Petrol,41.5,Automatic,181,3,16-11-2021
MINI,CONVERTIBLE 2.0 John Cooper Works 2dr [Comfort/Nav Pack],2021,Convertible,2,4,Red,2.0,5720,"1,208",Petrol,39.8,Manual,228,n/a,16-11-2021
BMW,2 SERIES 218i Sport 2dr [Nav],2018,Coupe,2,4,Red,1.5,3040,"17,5",Petrol,52.3,Manual,134,2,16-11-2021
MINI,PACEMAN 1.6 John Cooper Works ALL4 3dr [Chili Pack],2014,Coupe,3,4,Black,1.6,2560,"50,137",Petrol,38.2,Manual,215,3,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Sport II 3dr Auto [Comfort Pack],2019,Hatchback,3,4,Grey,2.0,3760,"8,998",Petrol,44.8,Automatic,189,1,16-11-2021
MERCEDES-BENZ,CLA CLASS CLA 250 AMG 4dr Tip Auto [Comand],2018,Saloon,4,5,White,2.0,4440,"25,89",Petrol,46.3,Automatic,215,1,16-11-2021
BMW,X1 xDrive 20d xLine 5dr,2017,Estate,5,5,Black,2.0,3680,38,Diesel,44.1,Manual,188,3,16-11-2021
BMW,X5 M xDrive X5 M 5dr Auto,2018,Estate,5,n/a,Red,4.4,9360,"14,454",Petrol,n/a,Automatic,n/a,2,16-11-2021
MINI,CONVERTIBLE 1.5 Cooper Sport II 2dr [Comfort Pack],2019,Convertible,2,n/a,Grey,1.5,3280,"14,69",Petrol,n/a,Manual,n/a,1,16-11-2021
MINI,COUNTRYMAN 2.0 Cooper S Sport 5dr,2019,Hatchback,5,5,Blue,2.0,4160,"9,371",Petrol,37.7,Manual,189,2,16-11-2021
MINI,HATCHBACK 1.5 Cooper Sport II 5dr [Comfort/Nav Pack],2019,Hatchback,5,5,Black,1.5,3600,"17,217",Petrol,47.9,Manual,134,1,16-11-2021
BMW,2 SERIES 218d M Sport 2dr Step Auto [Nav],2017,Coupe,2,4,White,2.0,3520,"23,5",Diesel,67.3,Automatic,148,1,16-11-2021
BMW,I8 2dr Auto,2015,Coupe,2,4,Grey,1.5,8320,"21,9",Hybrid,134.5,Automatic,357,5,16-11-2021
BMW,X3 xDrive20d M Sport 5dr Step Auto,2018,Estate,5,5,Blue,2.0,5600,"30,404",Diesel,54.3,Automatic,188,1,16-11-2021
MINI,HATCHBACK 1.5 Cooper Exclusive II 3dr [Comfort/Nav Pack],2020,Hatchback,3,4,Black,1.5,3800,"4,5",Petrol,48.7,Manual,134,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Exclusive II 3dr [Comfort Pack],2019,Hatchback,3,4,Blue,2.0,3560,"8,023",Petrol,40.4,Manual,189,1,16-11-2021
BMW,3 SERIES 320d xDrive Sport 4dr Step Auto,2018,Saloon,4,5,Black,2.0,3760,"16,077",Diesel,62.8,Automatic,188,1,16-11-2021
BMW,Z4 sDrive 20i M Sport 2dr Auto [Tech/Pro Pack],2019,Convertible,2,2,Red,2.0,5520,"14,515",Petrol,38.7,Automatic,194,2,16-11-2021
MINI,COUNTRYMAN 1.5 Cooper Classic 5dr Auto [Comfort Pack],2020,Hatchback,5,5,Green,1.5,4520,10,Petrol,44.8,Automatic,134,1,16-11-2021
BMW,X3 xDrive30d M Sport 5dr Step Auto [Plus Pack],2019,Estate,5,5,Silver,3.0,6160,"14,5",Diesel,48.7,Automatic,261,1,16-11-2021
MITSUBISHI,OUTLANDER 2.0 PHEV Juro 5dr Auto,2016,Estate,5,n/a,Grey,2.0,3320,"33,201",n/a,n/a,Automatic,n/a,2,16-11-2021
BMW,X6 xDrive30d M Sport Edition 5dr Step Auto,2018,Estate,5,5,White,3.0,6240,"36,898",Diesel,40.9,Automatic,255,2,16-11-2021
BMW,X5 xDrive40d M Sport 5dr Auto [7 Seat],2015,Estate,5,7,Grey,3.0,4720,"86,519",Diesel,47.1,Automatic,308,2,16-11-2021
MINI,COUNTRYMAN 1.5 Cooper 5dr Auto [7 Speed],2018,Hatchback,5,5,White,1.5,3880,"17,663",Petrol,39.8,Automatic,134,1,16-11-2021
PORSCHE,911 991.2 CARRERA 4 PDK 2016 2 OWNER 34K FDSH,2016,Coupe,2,4,Silver,3.0,11832,"34,6",Petrol,36.7,Semi Automatic,364,3,16-11-2021
BMW,4 SERIES 430i M Sport 2dr Auto [Professional Media],2018,Coupe,2,4,Black,2.0,4560,"5,5",Petrol,48.7,Automatic,248,1,16-11-2021
BMW,3 SERIES 335d xDrive M Sport Shadow Edition 5dr Step Auto,2017,Estate,5,5,Grey,3.0,3760,83,Diesel,49.6,Automatic,308,3,16-11-2021
BMW,X3 xDrive20d xLine 5dr Step Auto,2019,Estate,5,5,Blue,2.0,5520,"23,913",Diesel,54.3,Automatic,188,1,16-11-2021
BMW,2 SERIES 218d M Sport 2dr,2016,Coupe,2,4,White,2.0,2640,"57,774",Diesel,67.3,Manual,148,3,16-11-2021
BMW,2 SERIES 220d Luxury 5dr Step Auto,2021,Estate,5,7,Blue,2.0,4960,4,Diesel,49.6,Automatic,187,1,16-11-2021
MINI,COUNTRYMAN 2.0 Cooper S D 5dr,2013,Hatchback,5,5,Silver,2.0,1400,"64,577",Diesel,61.4,Manual,141,2,16-11-2021
BMW,5 SERIES 520d M Sport 4dr Auto [Tech/Pro Pack],2020,Saloon,4,5,Grey,2.0,6840,"3,001",Diesel,51.4,Automatic,187,1,16-11-2021
BMW,4 SERIES 420d [190] M Sport 5dr Auto [Professional Media],2020,Hatchback,5,5,Black,2.0,5520,"8,47",Diesel,65.7,Automatic,188,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S II 3dr [JCW Chili/Nav+ Pack],2018,Hatchback,3,n/a,Black,2.0,3200,"26,878",Petrol,n/a,Manual,n/a,1,16-11-2021
MINI,COUNTRYMAN 1.5 Cooper Classic 5dr,2019,Hatchback,5,5,White,1.5,3320,27,Petrol,40.9,Manual,134,2,16-11-2021
BMW,X3 xDrive 30e M Sport 5dr Auto [Tech/Pro Pack],2021,Estate,5,5,Black,2.0,8480,"5,264",Hybrid,5.5,Automatic,288,1,16-11-2021
BMW,X6 xDrive40d M Sport Edition 5dr Step Auto,2018,Estate,5,5,Blue,3.0,6640,"42,094",Diesel,40.9,Automatic,308,1,16-11-2021
BMW,X4 xDrive M40i 5dr Step Auto,2019,Estate,5,5,Black,3.0,7160,"20,67",Petrol,26.9,Automatic,349,1,16-11-2021
BMW,3 SERIES M340d MHT xDrive 4dr Step Auto,2021,Saloon,4,5,Black,3.0,7360,"8,92",Diesel,43.5,Automatic,335,1,16-11-2021
BMW,X3 xDrive20d M Sport 5dr Step Auto,2019,Estate,5,5,Black,2.0,6000,"19,226",Diesel,54.3,Automatic,188,1,16-11-2021
BMW,X5 xDrive40d MHT M Sport 5dr Auto [Tech/Pro Pack],2021,Estate,5,5,Black,3.0,11360,"5,728",Diesel,34.9,Automatic,335,1,16-11-2021
BMW,2 SERIES 220d M Sport 4dr Step Auto [Tech/Pro Pack],2020,Saloon,4,5,Grey,2.0,5840,"3,224",Diesel,53.3,Automatic,187,1,16-11-2021
BMW,1 SERIES 118d M Sport 5dr [Tech/Pro Pack],2020,Hatchback,5,5,White,2.0,4760,"2,795",Diesel,53.3,Manual,148,1,16-11-2021
AUDI,Q5 2.0 TDI Quattro S Line Plus 5dr S Tronic,2013,Estate,5,5,Blue,2.0,2680,"73,511",Diesel,47.1,Automatic,175,3,16-11-2021
MITSUBISHI,OUTLANDER 2.4 PHEV 4h 5dr Auto,2018,Estate,5,5,Grey,2.4,4160,"15,989",Hybrid,2.8,Automatic,206,1,16-11-2021
BMW,4 SERIES 430i M Sport 2dr Auto [Professional Media],2017,Convertible,2,4,Grey,2.0,3600,"44,012",Petrol,44.8,Automatic,248,1,16-11-2021
BMW,X1 xDrive 18d xLine 5dr,2017,Estate,5,5,Blue,2.0,3200,"40,206",Diesel,60.1,Manual,148,2,16-11-2021
BMW,X6 xDrive30d MHT M Sport 5dr Step Auto [Pro Pack],2021,Estate,5,5,Grey,3.0,10560,10,Diesel,38.7,Automatic,282,1,16-11-2021
PORSCHE,CAYENNE ESTATE SPECIAL EDITIONS Platinum Edition Diesel 5dr Tiptronic S,2014,Estate,5,5,Black,3.0,3600,112,Diesel,39.2,Automatic,245,2,16-11-2021
BMW,X3 xDrive20d xLine 5dr Step Auto,2018,Estate,5,5,Black,2.0,5040,28,Diesel,54.3,Automatic,188,1,16-11-2021
BMW,X4 xDrive20d M Sport 5dr Step Auto,2016,Estate,5,5,Black,2.0,4480,"37,296",Diesel,54.3,Automatic,188,3,16-11-2021
BMW,X6 xDrive40i MHT M Sport 5dr Step Auto [Pro Pack],2021,Estate,5,5,Black,3.0,10720,"5,2",Petrol,28.8,Automatic,335,1,16-11-2021
BMW,X1 sDrive 18d SE 5dr,2016,Estate,5,5,White,2.0,2800,40,Diesel,68.9,Manual,148,2,16-11-2021
BMW,X4 xDrive30d M Sport 5dr Step Auto,2016,Estate,5,5,Red,3.0,3720,"81,144",Diesel,47.9,Automatic,255,2,16-11-2021
BMW,X3 xDrive35d M Sport 5dr Step Auto,2017,Estate,5,5,White,3.0,4960,"34,859",Diesel,47.1,Automatic,308,3,16-11-2021
BMW,2 SERIES 218d M Sport 5dr,2018,Hatchback,5,5,Silver,2.0,2880,"23,5",Diesel,74.3,Manual,114,1,16-11-2021
BMW,X3 xDrive M40i 5dr Step Auto,2018,Estate,5,n/a,White,3.0,6800,20,Petrol,n/a,Automatic,n/a,2,16-11-2021
AUDI,A1 1.4 TFSI 140 S Line 5dr,2014,Hatchback,5,5,White,1.4,1920,42,Petrol,57.7,Manual,138,3,16-11-2021
MINI,HATCHBACK 1.5 Cooper Classic II 5dr,2019,Hatchback,5,5,Grey,1.5,2640,"10,212",Petrol,47.1,Manual,134,1,16-11-2021
MINI,CONVERTIBLE 1.5 Cooper II 2dr,2018,Convertible,2,4,Turquoise,1.5,2800,"12,079",Petrol,54.3,Manual,134,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S 3dr [Chili/Media Pack XL],2017,Hatchback,3,4,Black,2.0,2800,"10,116",Petrol,49.6,Manual,189,2,16-11-2021
MINI,HATCHBACK 1.5 Cooper Sport II 3dr Auto [Comfort/Nav Pack],2018,Hatchback,3,4,White,1.5,3440,"8,638",Petrol,47.1,Automatic,134,1,16-11-2021
BMW,4 SERIES 420d [190] M Sport 2dr Auto [Professional Media],2019,Coupe,2,4,Blue,2.0,3880,"48,6",Diesel,65.7,Automatic,188,2,16-11-2021
BMW,1 SERIES M140i Shadow Edition 3dr Step Auto,2018,Hatchback,3,5,Orange,3.0,4400,10,Petrol,39.8,Automatic,335,2,16-11-2021
BMW,4 SERIES 430d xDrive M Sport 2dr Auto [Professional Media],2016,Coupe,2,4,Black,3.0,3680,"41,001",Diesel,52.3,Automatic,255,2,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Sport II 5dr Auto [Comfort Pack],2019,Hatchback,5,5,Black,2.0,3800,"14,569",Petrol,44.8,Automatic,189,1,16-11-2021
MINI,HATCHBACK 1.5 Cooper Sport II 3dr,2019,Hatchback,3,4,White,1.5,3160,"13,756",Petrol,47.9,Manual,134,2,16-11-2021
MINI,CONVERTIBLE 1.5 Cooper Sport II 2dr [Comfort/Nav Pack],2019,Convertible,2,4,Turquoise,1.5,3360,7,Petrol,44.8,Manual,134,1,16-11-2021
MINI,CLUBMAN 2.0 Cooper D 6dr Auto [Chili Pack],2018,Estate,6,n/a,Grey,2.0,3160,"13,5",Diesel,n/a,Automatic,n/a,2,16-11-2021
BMW,4 SERIES 430i M Sport 2dr Auto [Professional Media],2020,Convertible,2,4,Blue,2.0,6080,"4,415",Petrol,44.8,Automatic,248,1,16-11-2021
BMW,M4 M4 M Heritage Edition 2dr DCT,2020,Coupe,2,4,Red,3.0,8960,9,Petrol,28.5,Automatic,444,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S II 5dr [Chili Pack],2018,Hatchback,5,5,Blue,2.0,2800,20,Petrol,40.9,Manual,189,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Classic II 3dr Auto [Comfort/Nav Pck],2019,Hatchback,3,4,Black,2.0,3360,"25,537",Petrol,44.8,Automatic,189,1,16-11-2021
BMW,X2 sDrive 20i M Sport 5dr Step Auto,2019,Hatchback,5,5,Blue,2.0,4560,"17,122",Petrol,39.2,Automatic,189,2,16-11-2021
MINI,HATCHBACK 1.5 Cooper Sport II 5dr,2019,Hatchback,5,5,White,1.5,3360,"15,988",Petrol,47.1,Manual,134,2,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Sport II 3dr Auto [Comfort/Nav Pack],2019,Hatchback,3,n/a,Grey,2.0,3760,"17,767",Petrol,n/a,Automatic,n/a,2,16-11-2021
MINI,CONVERTIBLE 1.5 Cooper Classic II 2dr,2019,Convertible,2,4,Grey,1.5,2960,"13,149",Petrol,45.6,Manual,134,1,16-11-2021
BMW,M2 M2 Competition 2dr DCT,2019,Coupe,2,4,Silver,3.0,7200,"19,575",Petrol,29.1,Automatic,405,1,16-11-2021
BMW,X5 xDrive30d M Sport 5dr Auto [7 Seat],2015,Estate,5,7,Grey,3.0,4800,66,Diesel,47.1,Automatic,255,2,16-11-2021
BMW,3 SERIES 330d xDrive M Sport 4dr Step Auto,2017,Saloon,4,5,Blue,3.0,4240,"22,3",Diesel,53.3,Automatic,255,2,16-11-2021
BMW,4 SERIES 440i M Sport 2dr Auto [Professional Media],2018,Coupe,2,4,Black,3.0,5280,"21,118",Petrol,41.5,Automatic,322,1,16-11-2021
BMW,4 SERIES 435d xDrive M Sport 2dr Auto,2015,Convertible,2,4,Black,3.0,3520,40,Diesel,47.9,Automatic,308,2,16-11-2021
BMW,2 SERIES 218i M Sport 2dr [Nav] Step Auto,2019,Coupe,2,4,Grey,1.5,4160,"15,686",Petrol,50.4,Automatic,134,2,16-11-2021
BMW,1 SERIES,2013,Convertible,2,4,White,2.0,"1599,2","40,4",Diesel,58.9,Manual,141,3,16-11-2021
BMW,1 SERIES M135i xDrive 5dr Step Auto,2019,Hatchback,5,5,White,2.0,5120,"3,511",Petrol,34.5,Automatic,302,1,16-11-2021
BMW,5 SERIES 520d [190] SE 4dr Step Auto,2016,Saloon,4,5,Silver,2.0,3360,"13,825",Diesel,68.9,Automatic,188,2,16-11-2021
BMW,1 SERIES 118i Sport 5dr,2019,Hatchback,5,5,Grey,1.5,3760,"14,75",Petrol,44.1,Manual,138,2,16-11-2021
BMW,X3 xDrive35d M Sport 5dr Step Auto,2017,Estate,5,5,White,3.0,4920,"33,252",Diesel,47.1,Automatic,308,2,16-11-2021
BMW,3 SERIES 330e M Sport 4dr Auto,2021,Saloon,4,5,White,2.0,6160,"14,96",Hybrid,8.8,Automatic,288,1,16-11-2021
BMW,X1 xDrive 18d xLine 5dr,2017,Estate,5,5,White,2.0,3600,"34,413",Diesel,43.5,Manual,134,1,16-11-2021
BMW,3 SERIES 320i M Sport 4dr Step Auto,2021,Saloon,4,5,Grey,2.0,5600,"10,89",Petrol,41.5,Automatic,181,1,16-11-2021
BMW,3 SERIES 318d MHT M Sport 4dr Step Auto,2021,Saloon,4,5,Black,2.0,5680,"10,476",Diesel,56.5,Automatic,148,1,16-11-2021
BMW,3 SERIES 320d MHT M Sport 4dr Step Auto [Pro Pack],2021,Saloon,4,5,Black,2.0,5840,"5,437",Diesel,56.5,Automatic,188,1,16-11-2021
AUDI,TT TDI QUATTRO S LINE   29K FDSH                 2013,2013,Coupe,2,4,Grey,2.0,"2047,2","29,8",Diesel,53.3,Manual,168,2,16-11-2021
BMW,5 SERIES 520i M Sport 4dr Auto [Tech/Pro Pack],2021,Saloon,4,5,Black,2.0,6720,12,Petrol,40.4,Automatic,181,n/a,16-11-2021
MINI,HATCHBACK 2.0 Cooper S Exclusive II 3dr Auto [Comfort Pack],2020,Hatchback,3,4,White,2.0,3800,"9,234",Petrol,44.8,Automatic,189,2,16-11-2021
BMW,X3 xDrive30d MHT M Sport 5dr Auto [Tech/Pro Pk],2020,Estate,5,5,Black,3.0,8480,"2,787",Diesel,42.2,Automatic,282,1,16-11-2021
BMW,X1 xDrive 18d xLine 5dr Step Auto,2017,Estate,5,5,White,2.0,4160,"24,271",Diesel,60.1,Automatic,148,3,16-11-2021
BMW,3 SERIES 320d SE 4dr Step Auto,2018,Saloon,4,n/a,White,2.0,3160,"40,5",Diesel,n/a,Automatic,n/a,1,16-11-2021
BMW,X5 xDrive40d M Sport 5dr Auto [7 Seat],2018,Estate,5,7,Black,3.0,7040,22,Diesel,47.1,Automatic,308,2,16-11-2021
BMW,X3 xDrive20i M Sport 5dr Step Auto [Tech/Pro Pack],2020,Estate,5,5,Grey,2.0,7760,"8,162",Petrol,30.4,Automatic,181,1,16-11-2021
LOTUS,EVORA 3.5 V6 400 2dr,2016,Coupe,2,4,Black,3.5,8560,14,Petrol,29.1,Manual,400,2,16-11-2021
MINI,HATCHBACK 2.0 JCW II 3dr [Comfort/Nav Pack],2020,Hatchback,3,4,Grey,2.0,4720,"5,684",Petrol,40.4,Manual,228,1,16-11-2021
BMW,5 SERIES 540i xDrive M Sport 5dr Auto,2019,Estate,5,5,Grey,3.0,6560,"26,33",Petrol,37.7,Automatic,335,1,16-11-2021
BMW,3 SERIES 335d xDrive M Sport 4dr Step Auto,2016,Saloon,4,5,Blue,3.0,3760,"48,486",Diesel,51.4,Automatic,308,1,16-11-2021
BMW,X3 xDrive30d M Sport 5dr Step Auto [Plus Pack],2019,Estate,5,5,Silver,3.0,6400,"17,673",Diesel,48.7,Automatic,261,1,16-11-2021
BMW,2 SERIES M240i 2dr [Nav] Step Auto,2018,Coupe,2,4,White,3.0,4960,"10,457",Petrol,39.8,Automatic,335,1,16-11-2021
BMW,M2 M2 2dr,2016,Coupe,2,4,Blue,3.0,5600,"26,865",Petrol,33.2,Manual,365,4,16-11-2021
MINI,CONVERTIBLE 1.5 Cooper Classic II 2dr [Comfort Pack],2019,Convertible,2,5,Grey,1.5,3120,"20,427",Petrol,n/a,Manual,123,1,16-11-2021
BMW,1 SERIES M135i xDrive 5dr Step Auto [Tech pack 1],2020,Hatchback,5,5,White,2.0,5520,16,Petrol,34.5,Automatic,302,1,16-11-2021
BMW,3 SERIES 320d MHT M Sport 4dr Step Auto [Pro Pack],2021,Saloon,4,5,Grey,2.0,5840,"8,596",Diesel,56.5,Automatic,188,1,16-11-2021
BMW,X2 xDrive 25e M Sport X 5dr Auto [Tech Pack II],2021,Hatchback,5,5,White,1.5,6640,"9,522",Hybrid,156.9,Automatic,221,1,16-11-2021
BMW,3 SERIES 320d M Sport Shadow Edition 4dr Step Auto,2018,Saloon,4,5,White,2.0,4240,"11,251",Diesel,64.2,Automatic,188,1,16-11-2021
BMW,4 SERIES 440i M Sport 2dr Auto [Professional Media],2017,Coupe,2,4,Grey,3.0,4800,"16,197",Petrol,41.5,Automatic,322,3,16-11-2021
BMW,2 SERIES 218i M Sport 2dr [Nav] Step Auto,2019,Coupe,2,4,Blue,1.5,4160,"15,8",Petrol,50.4,Automatic,134,2,16-11-2021
BMW,6 SERIES 640d M Sport 2dr Auto,2014,Coupe,2,5,Grey,3.0,3440,"28,7",Diesel,51.4,Automatic,148,1,16-11-2021
BMW,M3 M3 4dr DCT [Competition Pack],2018,Saloon,4,5,Black,3.0,7680,"18,983",Petrol,34,Automatic,444,1,16-11-2021
MINI,HATCHBACK 2.0 Cooper S 5dr [Chili Pack],2018,Hatchback,5,5,Silver,2.0,2960,"19,323",Petrol,40.9,Manual,189,1,16-11-2021
JAGUAR,F-TYPE5.0 V8 S/C S 2 OWNER 32K FDSH                                 2014,2014,Convertible,2,2,Black,5.0,6552,"32,98",Petrol,25.5,Automatic,495,3,16-11-2021
JAGUAR,XK,2011,Convertible,2,4,Grey,5.0,6072,"31,995",Petrol,23,Automatic,510,3,16-11-2021
BMW,X5 xDrive45e xLine 5dr Auto,2021,Estate,5,5,White,3.0,10080,"5,284",Hybrid,188.3,Automatic,389,1,16-11-2021
Dacia,Duster 1.3 TCe 130 Prestige 5dr,2020,Hatchback,5,5,Grey,1.3,"2719,84","9,172",Petrol,47,Manual,130,1,16-11-2021
MINI,Mini 2.0 Cooper S Sport II 3dr Auto,2018,Hatchback,3,4,Silver,2.0,"3679,84","19,057",Petrol,42.2,Automatic,189,2,16-11-2021
MG,ZS SUV 1.5 VTi-TECH Excite 5dr,2019,Hatchback,5,5,Red,1.5,"2079,84","25,242",Petrol,41.5,Manual,105,1,16-11-2021
BMW,5 Series 520d M Sport 5dr Auto,2018,Estate,5,5,Black,2.0,"4575,84","25,439",n/a,62.8,Automatic,188,1,16-11-2021
BMW,2 Series 218i M Sport 2dr [Nav],2019,Coupe,2,4,Orange,1.5,"3199,84","24,4",Petrol,52.3,Manual,134,2,16-11-2021
Audi,A1 25 TFSI S Line 5dr S Tronic,2021,Hatchback,5,5,Grey,1.0,"4159,84","2,184",Petrol,44.1,Automatic,94,2,16-11-2021
Mercedes-Benz,A-Class A200d AMG Line 5dr,2017,Hatchback,5,5,Blue,2.1,"3135,84","11,264",n/a,62.8,Manual,134,1,16-11-2021
Mercedes-Benz,E-Class E220d AMG Line Premium 2dr 9G-Tronic,2018,Coupe,2,4,White,1.9,"4959,84","20,389",n/a,70.6,Automatic,191,1,16-11-2021
Citroen,C4 Cactus 1.2 PureTech [82] Flair 5dr,2017,Hatchback,5,5,Silver,1.2,"1695,84","26,528",Petrol,61.4,Manual,80,2,16-11-2021
Audi,Q3 2.0 TDI [184] Quattro S Line Edition 5dr S Tronic,2018,Estate,5,5,Red,1.4,"3999,84","11,796",Petrol,53.3,Automatic,182,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 130ps Low Roof Limited Van,2020,n/a,n/a,5,Silver,2.0,"3679,84","8,825",n/a,46.3,Manual,128,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 170ps Low Roof Limited Van,2020,n/a,n/a,5,Grey,2.0,"4095,84","5,695",n/a,47.1,Manual,168,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 130ps Low Roof Limited Van,2020,n/a,n/a,5,Silver,2.0,"3679,84","9,25",n/a,46.3,Manual,128,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 130ps Low Roof Limited Van,2020,n/a,n/a,5,Blue,2.0,"3647,84","11,94",n/a,46.3,Manual,128,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 130ps Low Roof Limited Van,2020,n/a,n/a,5,Blue,2.0,"3839,84","6,481",n/a,46.3,Manual,128,1,16-11-2021
Ford,Transit Custom 2.0 EcoBlue 170ps Low Roof Limited Van,2020,n/a,n/a,5,Grey,2.0,"4095,84","2,053",n/a,47.1,Manual,168,n/a,16-11-2021
Ford,Fiesta 1.0 EcoBoost 125 ST-Line X Edition 5dr,2020,Hatchback,5,5,White,1.0,"2879,84","8,965",Petrol,49.6,Manual,123,1,16-11-2021
Audi,A4 40 TDI Black Edition 4dr S Tronic,2019,Saloon,4,5,Grey,2.0,"4575,84","20,31",n/a,48.7,Automatic,188,3,16-11-2021
BMW,X1 xDrive 20d M Sport 5dr Step Auto,2018,Estate,5,5,Blue,2.0,"3999,84","20,275",n/a,60.1,Automatic,187,1,16-11-2021
BMW,2 Series M240i 2dr [Nav] Step Auto,2019,Coupe,2,4,Black,3.0,"5055,84","12,763",Petrol,39.8,Automatic,335,1,16-11-2021
Audi,A4 40 TFSI Black Edition 4dr S Tronic,2019,Saloon,4,5,White,2.0,"4639,84","17,79",Petrol,38.7,Automatic,188,1,16-11-2021
Citroen,C3 Aircross 1.2 PureTech 110 Flair 5dr [6 speed],2019,Hatchback,5,5,White,1.2,"2335,84","17,364",Petrol,47.1,Manual,109,2,16-11-2021
Vauxhall,Mokka X 1.4T ecoTEC Elite Nav 5dr,2019,Hatchback,5,5,Silver,1.4,"2559,84","27,434",Petrol,39.2,Manual,138,1,16-11-2021
Mercedes-Benz,C-Class C350e Sport 4dr Auto,2018,Saloon,4,5,White,2.0,"3999,84","16,198",Hybrid,134.5,Automatic,275,1,16-11-2021
BMW,3 Series 320d M Sport 5dr Step Auto,2018,Estate,5,5,White,2.0,"3839,84","19,985",n/a,62.8,Automatic,188,1,16-11-2021
Mercedes-Benz,A-Class A200 AMG Line 5dr Auto,2018,Hatchback,5,5,White,1.3,"3839,84","16,019",Petrol,53.3,Automatic,161,1,16-11-2021
Mazda,CX-5 2.0 Sport Nav-Plus 5dr Auto,2019,Estate,5,5,Red,2.0,"4639,84","5,509",Petrol,36.7,Automatic,163,2,16-11-2021
